epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9259,1.00752,2.43689,1.18148,0.60106,0.46304,0.45999,0.24531,1.44376,2.67943,1.35259,0.0675572,0.000261635,0.000261635
2,125.975,1.12868,2.17136,1.20515,0.48426,0.59709,0.49787,0.32162,1.15638,5.94859,1.35738,0.0344775,0.000515207,0.000515207
3,187.357,1.23564,2.11804,1.28157,0.77903,0.5518,0.65468,0.44029,1.10829,1.62043,1.33267,0.00138449,0.000755558,0.000755558
4,249.426,1.19045,1.71737,1.23276,0.83981,0.57381,0.69918,0.50379,0.985,1.7541,1.11694,0.00074051,0.00074051,0.00074051
5,313.049,1.01202,1.42154,1.14501,0.93454,0.73995,0.82987,0.62434,0.89379,1.00278,1.07596,0.00072068,0.00072068,0.00072068
6,373.687,0.97252,1.08461,1.12844,0.83703,0.71583,0.80214,0.62017,0.82582,1.13382,1.04999,0.00070085,0.00070085,0.00070085
7,436.352,0.93234,0.968,1.09374,0.87539,0.73943,0.81297,0.65226,0.81367,1.10152,1.04248,0.00068102,0.00068102,0.00068102
8,498.329,0.87875,0.89613,1.07154,0.95782,0.83534,0.9049,0.7516,0.6736,0.69931,0.95419,0.00066119,0.00066119,0.00066119
9,561.813,0.8532,0.77946,1.06279,0.94349,0.83558,0.89665,0.70372,0.78719,0.71347,1.05534,0.00064136,0.00064136,0.00064136
10,624.37,0.78,0.77358,1.03404,0.9351,0.84151,0.90132,0.76524,0.61525,0.60576,0.93723,0.00062153,0.00062153,0.00062153
11,686.829,0.74103,0.68521,1.01981,0.90752,0.83107,0.88987,0.73994,0.63172,0.68222,0.96295,0.0006017,0.0006017,0.0006017
12,749.874,0.72429,0.68096,0.99876,0.96531,0.82142,0.92034,0.78386,0.60205,0.62364,0.93363,0.00058187,0.00058187,0.00058187
13,813.684,0.71208,0.63435,0.99411,0.95338,0.84582,0.90603,0.78319,0.59216,0.56807,0.9312,0.00056204,0.00056204,0.00056204
14,874.84,0.71625,0.62741,0.99438,0.9548,0.85622,0.90699,0.79246,0.53668,0.57694,0.90239,0.00054221,0.00054221,0.00054221
15,936.205,0.67454,0.60516,0.97313,0.97639,0.824,0.91308,0.76989,0.62748,0.59513,0.96488,0.00052238,0.00052238,0.00052238
16,996.076,0.64501,0.59591,0.95952,0.9884,0.89255,0.93643,0.80732,0.57484,0.49402,0.93331,0.00050255,0.00050255,0.00050255
17,1057.27,0.63236,0.55324,0.96123,0.9509,0.86797,0.92718,0.79463,0.59865,0.52935,0.92812,0.00048272,0.00048272,0.00048272
18,1120.14,0.63953,0.56122,0.96527,0.96934,0.89017,0.93394,0.82611,0.51924,0.47276,0.88068,0.00046289,0.00046289,0.00046289
19,1181.28,0.62589,0.5136,0.94475,0.96634,0.89938,0.93308,0.83261,0.50316,0.47227,0.88638,0.00044306,0.00044306,0.00044306
20,1243.9,0.59353,0.51205,0.93254,0.97266,0.86739,0.93494,0.82312,0.54152,0.50908,0.92876,0.00042323,0.00042323,0.00042323
21,1305.48,0.57971,0.4619,0.92171,0.95176,0.90591,0.93474,0.82236,0.5221,0.43869,0.92241,0.0004034,0.0004034,0.0004034
22,1369.13,0.55667,0.46499,0.9284,0.98166,0.8948,0.93591,0.83465,0.50696,0.42076,0.89761,0.00038357,0.00038357,0.00038357
23,1432.49,0.53681,0.45075,0.91441,0.97536,0.8808,0.93207,0.83999,0.48737,0.41901,0.89301,0.00036374,0.00036374,0.00036374
24,1494.26,0.54655,0.46212,0.92283,0.95795,0.88246,0.93765,0.84519,0.47623,0.44788,0.88577,0.00034391,0.00034391,0.00034391
25,1556.15,0.52872,0.45059,0.905,0.97083,0.90555,0.93988,0.84877,0.45997,0.39848,0.87921,0.00032408,0.00032408,0.00032408
26,1618.9,0.52106,0.42225,0.90655,0.99624,0.88636,0.94209,0.85006,0.45913,0.38858,0.86716,0.00030425,0.00030425,0.00030425
27,1681.2,0.50397,0.40794,0.90071,0.98201,0.88665,0.94128,0.85472,0.45842,0.4046,0.87028,0.00028442,0.00028442,0.00028442
28,1743.53,0.48471,0.39421,0.89206,0.96877,0.88424,0.93841,0.86009,0.44068,0.41056,0.86002,0.00026459,0.00026459,0.00026459
29,1805.58,0.49709,0.39401,0.90436,0.99082,0.89997,0.93876,0.86845,0.42114,0.39596,0.85236,0.00024476,0.00024476,0.00024476
30,1868.6,0.48385,0.38824,0.89234,0.98399,0.88975,0.94052,0.87422,0.41426,0.36905,0.85524,0.00022493,0.00022493,0.00022493
31,1936.15,0.38529,0.31225,0.83234,0.97232,0.91504,0.94604,0.86075,0.43476,0.35068,0.87561,0.0002051,0.0002051,0.0002051
32,1998.28,0.38093,0.31555,0.82168,0.97807,0.90186,0.9413,0.86989,0.41003,0.35911,0.84993,0.00018527,0.00018527,0.00018527
33,2063.69,0.3736,0.29661,0.82385,0.9953,0.90406,0.94149,0.8664,0.40565,0.36227,0.84288,0.00016544,0.00016544,0.00016544
34,2125.78,0.3629,0.29266,0.82347,0.9948,0.89978,0.94381,0.87097,0.3936,0.34701,0.8342,0.00014561,0.00014561,0.00014561
35,2187.98,0.35484,0.27387,0.81802,0.99455,0.89971,0.9445,0.87097,0.39793,0.33971,0.83959,0.00012578,0.00012578,0.00012578
36,2250.22,0.33684,0.27527,0.8107,0.98587,0.90777,0.9475,0.88473,0.38494,0.34044,0.83234,0.00010595,0.00010595,0.00010595
37,2314.64,0.33392,0.26236,0.80959,0.9925,0.91198,0.9486,0.89006,0.37271,0.31572,0.83326,8.612e-05,8.612e-05,8.612e-05
