epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.5452,1.2856,3.02078,0.91087,0.80164,0.66584,0.7756,0.51239,1.20449,1.96442,0.93976,0.0805736,0.000196226,0.000196226
2,128.951,1.22446,1.69162,0.92413,0.71532,0.64613,0.66479,0.44694,1.27864,2.12158,0.91723,0.0607638,0.00038642,0.00038642
3,192.774,1.25117,1.70525,0.91477,0.84254,0.72696,0.80465,0.51194,1.23972,3.2962,0.91707,0.0409441,0.000566713,0.000566713
4,257.998,1.23176,1.65786,0.92923,0.726,0.70399,0.73583,0.48992,1.24763,2.70706,0.88713,0.0211145,0.000737107,0.000737107
5,323.013,1.25347,1.60577,0.92384,0.68343,0.74647,0.72114,0.45653,1.29241,2.65672,0.93836,0.00127496,0.0008976,0.0008976
6,386.563,1.25787,1.62954,0.93122,0.85254,0.82104,0.86511,0.52906,1.30663,1.58564,1.01085,0.00087625,0.00087625,0.00087625
7,448.657,1.24003,1.54412,0.93011,0.93015,0.78088,0.85198,0.58167,1.16737,1.39188,0.84763,0.0008515,0.0008515,0.0008515
8,512.829,1.2137,1.47553,0.90592,0.94067,0.83604,0.9028,0.56314,1.22678,1.41036,0.8952,0.00082675,0.00082675,0.00082675
9,575.226,1.21955,1.44111,0.89994,0.93009,0.86608,0.90851,0.60381,1.14444,1.15338,0.83319,0.000802,0.000802,0.000802
10,639.928,1.17728,1.37594,0.8933,0.91181,0.85816,0.89464,0.60701,1.14287,1.26994,0.83277,0.00077725,0.00077725,0.00077725
11,705.931,1.20873,1.37996,0.8976,0.91697,0.81922,0.8813,0.61215,1.08646,1.22574,0.81746,0.0007525,0.0007525,0.0007525
12,771.324,1.13691,1.30398,0.86641,0.93209,0.85577,0.90752,0.58665,1.25712,1.14472,0.86212,0.00072775,0.00072775,0.00072775
13,834.654,1.13027,1.30461,0.86645,0.90462,0.84135,0.88711,0.59531,1.18792,1.20517,0.83836,0.000703,0.000703,0.000703
14,896.964,1.11232,1.24677,0.84466,0.95872,0.87839,0.92822,0.64727,1.12053,1.00099,0.79051,0.00067825,0.00067825,0.00067825
15,960.136,1.10989,1.21903,0.84158,0.93348,0.85127,0.9011,0.60271,1.16092,1.08399,0.81765,0.0006535,0.0006535,0.0006535
16,1023.28,1.1172,1.22454,0.86196,0.9708,0.80049,0.85862,0.59122,1.20043,1.28805,0.84975,0.00062875,0.00062875,0.00062875
17,1085.27,1.1052,1.21434,0.84517,0.94657,0.84074,0.90665,0.64513,1.05096,1.02106,0.80599,0.000604,0.000604,0.000604
18,1147.15,1.07231,1.14117,0.83002,0.93341,0.80835,0.88663,0.62853,1.08876,1.38723,0.79199,0.00057925,0.00057925,0.00057925
19,1210.26,1.05449,1.13262,0.82381,0.96819,0.86259,0.93112,0.70356,0.97361,0.91064,0.74066,0.0005545,0.0005545,0.0005545
20,1273.62,1.03598,1.10653,0.80656,0.98177,0.8648,0.91734,0.6462,1.10026,0.97613,0.78379,0.00052975,0.00052975,0.00052975
21,1337.54,0.96012,0.94675,0.79819,0.97341,0.85971,0.93057,0.63112,1.15177,0.96859,0.80511,0.000505,0.000505,0.000505
22,1397.07,0.92765,0.90432,0.7782,0.96898,0.85969,0.92632,0.62781,1.12361,1.01479,0.79553,0.00048025,0.00048025,0.00048025
23,1456.51,0.89469,0.88923,0.7765,0.94821,0.83536,0.90897,0.6833,0.91873,1.00353,0.76323,0.0004555,0.0004555,0.0004555
24,1514.81,0.90332,0.86232,0.78012,0.94001,0.86073,0.91665,0.71697,0.84346,0.92201,0.7281,0.00043075,0.00043075,0.00043075
25,1576.34,0.90234,0.83181,0.77072,0.98085,0.89654,0.93101,0.7571,0.76334,0.84851,0.681,0.000406,0.000406,0.000406
26,1637.47,0.88215,0.79495,0.76268,0.93988,0.87219,0.92787,0.72817,0.86926,0.85802,0.71082,0.00038125,0.00038125,0.00038125
27,1696.34,0.8462,0.80312,0.75194,0.93976,0.86966,0.94023,0.68178,0.97739,0.89899,0.74498,0.0003565,0.0003565,0.0003565
28,1754.27,0.86897,0.82032,0.76568,0.96914,0.85473,0.91846,0.70363,0.92482,0.96439,0.74951,0.00033175,0.00033175,0.00033175
29,1813.88,0.83685,0.76767,0.75357,0.97546,0.88723,0.93974,0.68096,1.09618,0.84737,0.78187,0.000307,0.000307,0.000307
30,1873.16,0.80706,0.73288,0.7354,0.98397,0.89357,0.95096,0.67066,1.12652,0.85658,0.78725,0.00028225,0.00028225,0.00028225
31,1931.94,0.80365,0.72458,0.73981,0.98913,0.87641,0.94735,0.65934,1.18141,0.86161,0.80248,0.0002575,0.0002575,0.0002575
32,1991.28,0.82707,0.72846,0.72925,0.97852,0.89318,0.94125,0.72715,0.87113,0.84705,0.71155,0.00023275,0.00023275,0.00023275
33,2049.84,0.79214,0.69403,0.71981,0.98623,0.8775,0.94273,0.74638,0.84148,0.79217,0.69554,0.000208,0.000208,0.000208
34,2108.59,0.79454,0.68023,0.72807,0.98374,0.89124,0.94585,0.73691,0.90449,0.80216,0.70959,0.00018325,0.00018325,0.00018325
35,2168.01,0.76781,0.6491,0.70512,0.99523,0.90488,0.94946,0.72833,0.90832,0.75662,0.71251,0.0001585,0.0001585,0.0001585
36,2226.89,0.71654,0.63507,0.69324,0.99062,0.90886,0.95607,0.75677,0.80718,0.68918,0.68413,0.00013375,0.00013375,0.00013375
37,2287.47,0.73823,0.64034,0.70641,0.98924,0.90169,0.96067,0.73754,0.90797,0.73208,0.71081,0.000109,0.000109,0.000109
38,2347.26,0.72775,0.60442,0.6936,0.98431,0.89383,0.95892,0.76931,0.79669,0.67542,0.67863,8.425e-05,8.425e-05,8.425e-05
39,2408.15,0.7217,0.5929,0.69512,0.97694,0.89468,0.95468,0.77524,0.78678,0.66349,0.67159,5.95e-05,5.95e-05,5.95e-05
